Country,ISO_A3,SFP/AMC,Population (UNDESA),COVAX Forecast Total,COVAX AstraZeneca/SII,COVAX AstraZeneca/SKBio,COVAX Pfizer/BioNTech,COVAX Delivered,Other Delivered,Total Delivered,Population Covered (One Dose),(DEPRECATAED) Other Delivered Source Country,(DEPRECATAED) Other Delivered Source URLs
Afghanistan,AFG,AMC,"38928341","2580000","2580000",0,0,"468000","968000","1436000",3.69%,India,https://www.livemint.com/news/india/first-batch-of-covid-19-vaccine-from-india-arrives-in-afghanistan-11612755483065.html
Burkina Faso,BFA,AMC,"20903278","1380000","1380000",0,0,0,0,0,0.00%,,
Cameroon,CMR,AMC,"26545864","1752000","1752000",0,0,"391200","200000","591200",2.23%,,
CAR,CAF,AMC,"4829764","312000","312000",0,0,"80000",0,"80000",1.66%,,
Chad,TCD,AMC,"16425859","1080000","1080000",0,0,0,0,0,0.00%,,
Colombia,COL,SFP,"50882884","2183400",0,"2066400","117000","1820190","5023106","6843296",13.45%,"Colombia (Procured) 1.6M (Pfizer), 96K (Sinopharm)",https://www.aa.com.tr/en/americas/colombia-s-first-shipment-of-covid-19-vaccines-arrive/2146126
DRC,COD,AMC,"89561404","5928000","5928000",0,0,"416000","50000","466000",0.52%,,
Ethiopia,ETH,AMC,"114963583","7620000","7620000",0,0,"2184000","300000","2484000",2.16%,,
Haiti,HTI,AMC,"11402533","756000","756000",0,0,0,0,0,0.00%,,
Iraq,IRQ,SFP,"40222503","1725600",0,"1725600",0,"835200","250000","1085200",2.70%,China (Sinopharm),
Libya,LBY,SFP,"6871287","292800",0,"292800",0,"175200","501252","676452",9.84%,,
Mali,MLI,AMC,"20250834","1332000","1332000",0,0,"396000",0,"396000",1.96%,,
Mozambique,MOZ,AMC,"31255435","2064000","2064000",0,0,"384000","300000","684000",2.19%,China (Sinopharm),
Myanmar,MMR,AMC,"54409794","3600000","3600000",0,0,0,"4200000","4200000",7.72%,India,https://www.hindustantimes.com/india-news/india-sends-22-9-mn-doses-of-covid-19-vaccines-to-20-countries-more-in-pipeline-101613142400644.html
Niger,NER,AMC,"24206636","1596000","1596000",0,0,"355000","425000","780000",3.22%,,
Nigeria,NGA,AMC,"206139587","13656000","13656000",0,0,"3924000","1800000","5724000",2.78%,,
oPt,PSE,,"5101416","205440","168000",0,"37440","61440","200000","261440",5.12%,"UAE (20,000), Russia (10,000), Israel (5,000)","https://www.bbc.com/news/55800921, https://www.washingtonpost.com/world/middle_east/israel-gaza-vaccine-blocked/2021/02/17/5a29112a-70f7-11eb-8651-6d3091eac63f_story.html"
Pakistan,PAK,AMC,"220892331","14640000","14640000",0,0,"1238400","4860000","6098400",2.76%,Pakistan (Procured) (Sinopharm),https://foreignpolicy.com/2021/02/25/pakistan-covid-vaccines-obstacles-covax/
Somalia,SOM,AMC,"15893219","1044000","1044000",0,0,"300000","200000","500000",3.15%,,
South Sudan,SSD,AMC,"11193729","732000","732000",0,0,"132000",0,"132000",1.18%,,
Sudan,SDN,AMC,"43849269","2904000","2904000",0,0,"828000","200000","1028000",2.34%,,
Syria,SYR,AMC,"17500657","1020000","1020000",0,0,"256800","155000","411800",2.35%,,
Ukraine,UKR,AMC,"43733759","1893000",0,"1776000","117000","607050","2400000","3007050",6.88%,Ukraine (procured) - India (AZ),https://www.france24.com/en/live-news/20210223-ukraine-receives-first-covid-19-vaccine-doses
Venezuela,VEN,SFP,"28435943",0,0,0,0,0,"780000","780000",2.74%,Russia,https://www.telesurenglish.net/news/Venezuela-Set-to-Receive-100000-Doses-of-Russian-Sputnik-V-20210210-0007.html
Yemen,YEM,AMC,"29825968","1968000","1968000",0,0,"360000",0,"360000",1.21%,,
Zimbabwe,ZWE,AMC,"14862927","984000","984000",0,0,0,"1666000","1666000",11.21%,China (Sinopharm),"https://www.aa.com.tr/en/africa/zimbabwe-to-receive-800-000-doses-of-vaccine-from-china/2140907, https://www.scmp.com/news/china/diplomacy/article/3121787/chinese-vaccines-reach-zimbabwe-it-receives-its-first"
